run_id,source_id,started_at,finished_at,status,full_snapshot,fetched_count,company_count,job_count,lead_count,failure_count
49eb5c26-73b7-590c-8174-a669d5a69b5d,remotive,2026-09-21 08:11:05.40131+00,2026-09-21 08:11:06.151509+00,completed,true,1,0,17,0,0
d010eb7d-78be-5f82-915c-10ee83d9eeed,remoteok,2026-09-21 08:11:02.190843+00,2026-09-21 08:11:05.255398+00,completed,true,1,0,60,0,0
dfb9ed90-e7c4-50d7-af8c-40fb15033692,himalayas,2026-09-21 08:00:30.844458+00,2026-09-21 08:11:01.860001+00,completed,true,100,0,1047,0,0
