evidence_id,record_type,record_id,field_name,source_id,source_url,observed_at,snippet,selector,confidence,content_sha256,parser_version,attribution
1c601902-2a63-51aa-942d-05b7b487b5d2,company,563f627b-65bf-5a7b-a515-445b1b9ed22e,record,remoteok,https://remoteOK.com/remote-jobs/remote-consultant-implementation-engineer-harbor-1136987,2026-08-28 21:38:35.840926+05:45,Harbor,,0.75,,0.1.0,Remote OK — link to the original Remote OK job page.
f37c1c9f-06ce-5256-bb9d-43d18be0a8c4,company,5c85cdd7-016f-509e-9bc8-386da0637c8c,record,remoteok,https://remoteOK.com/remote-jobs/remote-oracle-fusion-cloud-lead-logistics-supply-chain-management-tessera-labs-1137155,2026-08-28 21:38:35.836927+05:45,Tessera Labs,,0.75,,0.1.0,Remote OK — link to the original Remote OK job page.
6bfd180d-2f43-5695-8c27-960f8ba61038,company,688165fb-8d0d-501d-ad04-0f96f56a55cd,record,remotive,https://remotive.com/remote-jobs/marketing/head-of-marketing-communications-2091068,2026-08-28 21:38:32.023543+05:45,garden3d,,0.75,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
81b4e8c3-22c9-5516-9e7f-126ce8cba5a4,company,78f63ee3-b6a4-50ca-816b-4bff785e5a73,record,remotive,https://remotive.com/remote-jobs/information-technology/tier-iii-service-desk-engineer-2091045,2026-08-28 21:38:32.023543+05:45,Unio Digital,,0.75,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
adb04cb0-ec07-5286-b95a-6e6c8a5ca5c6,company,7e341da1-4a26-5bc4-9efe-f55c4ab45941,record,remoteok,https://remoteOK.com/remote-jobs/remote-retail-store-associate-rowan-1137073,2026-08-28 21:38:35.838926+05:45,Rowan,,0.75,,0.1.0,Remote OK — link to the original Remote OK job page.
ea9b3d53-ac4e-5387-8574-8c3e712f16d3,company,9c7d6feb-7b0e-5472-b403-74e70c96a576,record,remoteok,https://remoteOK.com/remote-jobs/remote-desarrollador-full-stack-kruger-nearshore-llc-rekluti-1137062,2026-08-28 21:38:35.838926+05:45,Kruger NearShore LLC - Rekluti,,0.75,,0.1.0,Remote OK — link to the original Remote OK job page.
91a1dfc2-75bc-5761-b457-4f0138767582,company,9d1677a9-570c-596c-8723-60e98b9328e2,record,remoteok,https://remoteOK.com/remote-jobs/remote-baker-day-loblaw-companies-limited-1136999,2026-08-28 21:38:35.840926+05:45,Loblaw Companies Limited,,0.75,,0.1.0,Remote OK — link to the original Remote OK job page.
9b5b273b-8692-5136-8967-94e0ff0667cd,company,a9532837-25e6-5339-a8bb-443d4f1cc9f5,record,remoteok,https://remoteOK.com/remote-jobs/remote-estimator-linsco-ltd-1137060,2026-08-28 21:38:35.839926+05:45,Linsco Ltd,,0.75,,0.1.0,Remote OK — link to the original Remote OK job page.
e70bb9b9-4ffe-583b-a0a8-7b230ff91ce0,company,b591ac1a-8c85-56fe-9f9c-f7ea3bdf1ea6,record,remotive,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,2026-08-28 21:38:32.023543+05:45,Mitre Media,,0.75,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
dddbb999-8c24-5ebb-9997-8830b4251da5,company,b8b6ae96-edb1-5d91-93c5-bfeb52572ff7,record,remoteok,https://remoteOK.com/remote-jobs/remote-general-interest-position-coogee-chemicals-1137166,2026-08-28 21:38:35.836927+05:45,Coogee Chemicals,,0.75,,0.1.0,Remote OK — link to the original Remote OK job page.
28e010d0-da9c-5890-b1d0-7e616cba52e1,company,bb092bc5-11ab-5680-ad8a-247e2717a21a,record,remotive,https://remotive.com/remote-jobs/software-development/senior-data-engineer-2091097,2026-08-28 21:38:32.023543+05:45,Lemon.io,,0.75,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
4312d831-947a-5a73-9a04-527a536cedd2,company,bb092bc5-11ab-5680-ad8a-247e2717a21a,record,remotive,https://remotive.com/remote-jobs/design/senior-graphic-designer-2091081,2026-08-28 21:38:32.023543+05:45,Lemon.io,,0.75,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
62c38e29-9c49-534e-bac5-5d0327522b17,company,bb092bc5-11ab-5680-ad8a-247e2717a21a,record,remotive,https://remotive.com/remote-jobs/software-development/senior-golang-developer-2091098,2026-08-28 21:38:32.023543+05:45,Lemon.io,,0.75,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
8382125a-1c4f-57c6-8d5e-6894c650441d,company,bb092bc5-11ab-5680-ad8a-247e2717a21a,record,remotive,https://remotive.com/remote-jobs/software-development/senior-qa-engineer-2091100,2026-08-28 21:38:32.023543+05:45,Lemon.io,,0.75,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
